标题,作者,年份,摘要,卷号,期号,期刊
保险企业数字化战略转型路径研究,苗力;,2019,"数字经济的深入推进正深刻地改变着保险企业的内外部环境,数字化战略转型成为保险企业发展必然选择。本文首先从外部环境推动和内部能力重塑拉动两方面剖析了保险企业数字化战略转型的动因,随后对保险企业数字化战略转型的内涵和特征进行阐释,在此基础上构建了保险企业数字化战略转型的""转型动因-转型过程-转型成效""的实现框架。建议保险企业从客户交互端、业务运营端以及支持保障端三大层面及九大维度着手进行变革转型,本文的研究试图对企业数字化战略转型的理论研究和管理实践有所启示。",,04,保险研究
数字经济视角下实体企业数字化变革的业绩提升效应评估,何帆;刘红霞;,2019,"数字经济为我国实体企业转型升级提供了动力和技术支持。利用A股2012～2017年数据,考察实体企业数字化变革的业绩提升效应。经样本分析发现,我国数字经济政策对实体企业数字化变革业绩影响较大。实证检验发现,数字化变革显著提升了实体企业经济效益,采用工具变量法与滞后期回归法的结果依然稳健。其具体实现路径为:通过降低成本费用、提高资产使用效率以及增强创新能力,推动实体企业数字化变革的经济效益提升。",,04,改革
数字经济:新时代的新动力,张辉;石琳;,2019,"随着新一代信息技术的快速发展,数字经济已经成为各国争夺的战略高点,也是新时代引领中国经济增长的新动力,但现阶段关于数字经济的理论分析仍然较为欠缺。因此,本文从理论上对数字经济的基本内涵,包括基本定义、发展历程、传导机制和发展规律等进行分析,从全球和国内两个维度对数字经济的发展现状进行概括总结,并在此基础上对数字经济面临的挑战和机遇进行展望与分析,从而为数字经济在国内的探索与实践提供理论支撑。",18,02,北京交通大学学报(社会科学版)
数字金融:经济高质量发展的重要驱动,何宏庆;,2019,"随着科学技术的迅猛发展,数字技术在金融领域的应用日益广泛,由此催生了新的金融业态——数字金融。数字金融是经济高质量发展的重要动力。当前,中国数字金融处于起步阶段,在推进经济高质量发展过程中存在相关法律制度不健全、数字金融活动主体素养较低、征信系统不完善、客户信息安全缺乏保障、数字金融风险更为集中隐蔽、金融监管机制不完善等问题,严重制约了我国经济高质量发展。为此,必须坚持""普惠""与""精准""相统一原则,完善数字金融法律制度,加强数字金融教育,健全征信体系,注重数字金融监管体系建设,重视数字金融技术创新,强化国际交流与合作,以更好地推进数字金融发展。",32,02,西安财经学院学报
基于中国实践的互联网与数字经济研究——首届互联网与数字经济论坛综述,刘航;伏霖;李涛;孙宝文;,2019,"<正>近年来,我国数字经济的发展势头异常迅猛,与经济社会各领域融合的广度和深度不断拓展,不仅在激发消费、拉动投资、创造就业等方面发挥重要作用,也在催生与聚合各类创新要素,为传统经济注入新动能,成为国民经济发展的重要驱动力。与数字经济蓬勃成长形成鲜明对比的是,数字经济的理论研究却相对滞后,既无法系统性地解释数字经济中出现的一系列""新现象"",更不能为数字经济的健康发展提供逻辑一贯的政策建议。为了促进互联网与数字经济领域的理论分析与实证研究的提升,",54,03,经济研究
互联网成熟度、数字经济与中国对外直接投资——基于2009年—2016年面板数据的实证研究,董有德;米筱筱;,2019,"本文构建了互联网成熟度测度指标体系,通过均值主成分法测度中国近年来OFDI增长较快的东道国和地区的数字经济发展水平,并将该指标纳入拓展的投资引力模型,进一步阐述东道国数字经济发展水平及其他相关因素对中国在该国家和地区进行直接投资的影响。研究表明:东道国和地区的数字经济发展水平存在一定程度差异,欧洲地区的平均综合水平高于亚洲地区;东道国的市场规模、市场潜力、劳动力要素、自然资源、技术水平、贸易与投资开放度对中国在该国家和地区进行的直接投资有显著正向促进作用,中国首都北京与东道国首都之间的距离则呈现出显著的负向影响;东道国和地区的数字经济发展水平越高,会增加中国对它们的直接投资,东道国制度及创新环境、数字基础设施建设和信息技术应用的提升,对中国在该国家和地区的直接投资具有较为显著的正向影响。",,03,上海经济研究
互联网和数字化情境中的零售新机制——马克思流通理论启示与案例分析,谢莉娟;庄逸群;,2019,"为了探讨互联网、数字经济背景下的零售本质及其创新机制,本文从马克思流通理论出发,认为无论基于社会再生产视角还是商业资本视角,零售的本质始终在于作为关键的""交换""要素而发挥""媒介供需""的功能,应重视发挥零售识别需求、引导生产的联动机制,而零售商业资本则通过专业化的零售活动以保证更高的媒介效率,亦即以""质效担保""而更好发挥零售最本质的媒介功能。互联网和数字化技术不是对社会再生产基本规律的突破,从而也不改变零售的媒介本质,而是引发了具体的媒介机制的变化。适应互联网长尾需求的极大显现和""拉""式产销逻辑的转化,利用数字化驱动引导形成高度适应需求动态的柔性生产,是零售深度媒介供需的新机制,也是数字化零售引领形成经济增长新动能的体现。本文还进一步应用案例研究法佐证了上述机制。",40,03,财贸经济
高质量发展背景下的新就业形态:内涵、影响及发展对策,王娟;,2019,"十九大报告指出,就业是最大的民生。新时代中国经济发展由高速增长阶段转向高质量发展阶段,提高就业质量、增加人民收入成为新时期我国面临的重大挑战之一。伴随新一代信息通信技术在经济社会领域的广泛应用,新技术、新经济、新业态在我国快速发展,并催生出新就业形态。当前理论界迫切需要回答的问题是:新就业形态是什么,""新""在哪儿,带来的影响是什么以及政府、企业和个人应如何应对。新就业形态是新""技术—经济范式""下的新就业模式,将在实现更高质量和更充分就业方面发挥积极的作用,但对传统的劳动关系和社会保障制度也提出了挑战。在高质量发展背景下,要以高质量就业为目标导向,从政府、企业、个人三个层面推动新就业形态的发展。",,03,学术交流
大数据推动我国经济高质量发展的理论机理、实践基础与政策选择,李辉;,2019,"新时代中国经济由高速增长阶段转向高质量发展阶段的实践取向是培育新动能、发展新产业和形成新模式。大数据以数据流为基础,将技术流、物质流、资金流和人才流有效整合,为新动能、新产业和新模式提供了新路径。本文以""宏观——中观——微观""为分析框架,从效率提升、产业结构升级和商业模式创新等角度阐述了大数据推动高质量发展的理论机理,并从大数据技术进步、大数据产业发展以及大数据战略制定等方面考察了大数据推动高质量发展的实践基础。最后,从发展数字经济、夯实大数据基础设施建设、加快大数据与实体经济融合、提倡大数据文化、完善大数据融资等方面提出利用大数据推动高质量发展的政策选择。",,03,经济学家
从开放资源到基础服务:平台监管的新视角,胡凌;,2019,"数字经济研究者往往忽视了推动生产要素背后的力量,即那些汇集众人之力产生大量交易和相关数据,通过智能算法进行分析,使生产/交易更加自动化和高效的力量,这种力量来自不断演进生成的""平台""。有必要探讨(特别是中国语境下)互联网平台的一般性理论,将资源、数据、算法和基础服务视为构成平台经济的核心要素,希望加深对平台经济的理解。除了传统上讨论较多的资源、数据、算法外,应将平台基础服务放在重要位置,这是推动创新的引擎,也是影响互联网治理规则和监管的重要要素。监管的目标是使整个经济具有活力,不仅涉及为市场主体减轻负担,还包括在平台之间推动资源的有序自由流动。因此,未来互联网监管政策的重点应放在推动资源有序流动和增强平台基础服务能力上面。",51,02,学术月刊
以精准农业驱动农业现代化加速现代农业数字化转型,刘海启;,2019,"[目的]学习贯彻习近平总书记关于发展数字经济的重要论述,充分认识发展精准农业的重要性紧迫性,总结推广精准农业的成功经验和技术模式,加速我国现代农业数字化转型。[方法]文章认为精准农业是现代农业数字化转型的动力和载体,现代农业数字化转型为数字农业发展提供了关键生产要素和技术支撑。精准农业是利用现代空间信息技术,在现行农业生产方式的基础上实现农业生产精准作业的一种生产方式,通过梳理国内外精准农业发展的不同阶段,分析形成了1S、3S和5S等3个发展阶段的理论概括。[结果](1)精准农业从技术上保障了农作物生长需求与农业生产要素投入之间的及时、定位、平衡,构建了资源节约和环境友好型的生产方式,与传统的现代农业方式相比,节约了资源、降低了成本、减少了排放,是构建绿色农业生产体系和实现农业可持续发展的根本途径。(2)农业遥感等3S空间信息技术是农业数字化的重要手段,是获取农业数据这个关键生产要素的基本路径,是数字农业发展的必由之路。(3)精准农业是农业现代化的重要表现形式,是数字农业发展的实现路径,是数字经济发展的本质要求。[结论]我国发展精准农业的基本条件已经成熟,形成了空间基础设施、农业空间数据和大数据分析系统的有利条件,需要进一步加强数字经济和数字农业知识的宣传普及,提高数字农业发展必然性的规律性认识,加强精准农业示范应用,加快构建数字农业经济体系。",40,01,中国农业资源与区划
数字经济促进经济高质量发展:一个理论分析框架,荆文君;孙宝文;,2019,"在经济增速放缓的大背景下,基于互联网及相应新兴技术产生的新型经济形态——数字经济,却表现出蓬勃发展的态势。本文在梳理我国数字经济发展特征的基础上,从微观、宏观两个层面探讨了数字经济与经济增长的关系及其促进经济高质量发展的内在机理。在微观层面,互联网、移动通信、大数据、云计算等新兴技术可以形成兼具规模经济、范围经济及长尾效应的经济环境,在此基础上更好地匹配供需,形成更完善的价格机制,由此提高经济的均衡水平。在宏观层面,数字经济可以通过三条路径促进经济增长,即新的投入要素、新的资源配置效率和新的全要素生产率,数字经济还具有一种类似斯密提出的自增长模式。最后,本文认为数字经济的快速发展可以为我国现代化经济体系建设提供更好的匹配机制与创新激励。",,02,经济学家
数字经济的本质及其发展逻辑,张鹏;,2019,"近年来,不断涌现的以大数据、云计算、人工智能为代表的信息技术,以及基于信息技术的平台组织为代表的数字经济的实践表明,人类经济活动在不确定性前提下,局部资源配置低效与潜在整体资源配置高效之间的矛盾,贯穿于经济发展过程的始终,成为信息技术和市场结构一同变革演化的主要推动力,而变革的突破口在于通过活跃的、动态的技术要素创新作用的发挥来不断优化整体层面的资源配置效率。作为一个历史范畴,数字经济形态是经济系统中技术、组织和制度相互作用过程中的宏观涌现,这一过程中基于技术进行资源配置优化为导向的人类经济活动的高度协调和互动所塑造的新生产组织方式的不断演化,则构成了数字经济的本质。在马克思主义基本原理和其科学研究方法的指导下,对数字经济的本质及其发展逻辑的揭示,既是当前本土经济学结合新时代伟大实践继续推进马克思主义中国化的重要任务,同时也为第四次工业革命战略机遇期我国现代化经济体系建设提供重要决策依据。",,02,经济学家
数字经济对国际税收征管的影响与对策——基于常设机构视角,王宝顺;邱柯;张秋璇;,2019,"数字经济在全球范围内的快速发展对传统的国际税收征管带来诸多挑战,这些挑战集中体现在常设机构的认定和常设机构的利润归属划分上。本文从常设机构视角分析数字经济对国际税收征管影响机制,并就我国在数字经济背景下加强国际税收征管提出了政策建议,包括积极参与国际税收规则的制定,寻求双边或区域的税收合作,修改国内税法中常设机构定义,修订常设机构例外条款,对常设机构利润划分实行公平交易法为主、零星分配法为辅的方法。",,02,税务研究
论网络直播平台的监管机制——以看门人理论的新发展为视角,李梦琳;,2019,"在数字经济技术的推动下,我国网络直播平台发展迅猛。在现有网络平台监管模式下,网络直播平台作为私法主体行使行政法上的监管职责,在被课予第三方义务时没有获得监管权力,在平台运营阶段基于合同获得监管授权,这种混乱的定位和平台以获取流量为盈利的模式造成了网络直播平台监管机制的硬性缺陷。网络直播平台作为新一代看门人具有合同性、技术性、合作性的新特点,在监管过程中应以合同治理为基础,从平台准入、平台运营和后平台三个阶段出发,结合算法规制、人群治理、声誉机制和助推理论等理论来架构科学、合理的网络直播监管机制。",,04,行政法学研究
基于“丰鸟数据之争”的数据财产的法律属性与保护路径,孟涛;,2019,"""丰鸟数据之争""充分揭示了数据的财产价值。基于此,促进数据的流通与强化数据的保护,已经成为数据立法必须解决的两大问题。大数据时代,数据的法律属性发生了质的变化,其不仅具有形式性和可复制性,更具有相关性和价值延伸性。数据法律属性的变化使得传统立法思路已经无法满足数据发展的现实需求,有碍数据财产价值的充分发挥。因此,应当合理转变数据立法思路,积极拓展数据的利用空间,并在规范层面上确立数据的财产价值。此外,还应当在私权体系内部构建起数据新型财产权,以实现对数据财产利用秩序的有效规制。数据新型财产权主要由数据存储权、数据使用权、数据收益权和数据处分权构成。",40,02,大连理工大学学报(社会科学版)
新时代我国经济从高速增长转向高质量发展的动力转换,任保平;李禹墨;,2019,"改革开放以来,中国经济总量快速增长,经济发展取得了一系列的成就。但当经济总量和规模增长到一定阶段后,原有的经济增长动力就不再满足新时代下高质量发展的要求。高质量发展阶段的动力需求包括:创新需求、人力资本需求、金融体系需求、制度需求。要实现经济从高速增长向高质量增长转变,就需要以创新为核心,实现新旧动力转化。其路径在于:加快产业链条延伸,培育高质量发展的产业链新动力;提升传统产业,培育高质量发展的新兴产业动力;培育创新者,培育高质量发展的企业家新动力;发展数字经济,培育高质量发展的新业态动力;把握新趋势,释放高质量发展的信息化新动力;创新发展方式,培育高质量发展的绿色动力。",35,01,经济与管理评论
法定数字货币的经济效应分析:理论与实证,姚前;,2019,"如何实现整体经济效益和社会福利的最大化,是法定数字货币研发的核心命题。理论分析表明,在支付方面,央行数字货币为银行间支付清算创造了一种新的模式,可优化零售端传统法定货币的支付功能;若与其他更广泛的金融基础设施有效融合,央行数字货币还有助于社会节本增效。在货币政策方面,基于合理的机制设计,央行数字货币不仅对货币政策和宏观经济的影响""中性"",而且可成为一种新的货币政策工具,增强货币政策有效性。在金融稳定方面,可以通过增加银行存款向央行数字货币转化的摩擦和成本,避免""狭义银行""影响。基于DSGE模型的实证结果显示,发行央行数字货币对我国银行系统和金融结构的冲击可控,长期看有助于提高经济产出,与稳态时的经济产出相比,可提升经济增速0.01个百分点,总体经济效应正面。实证结果还证实,央行数字货币利率创造了一种新的货币政策工具,可以在宏观经济调控上发挥作用。",,01,国际金融研究
我国数字经济发展的趋势与推动政策研究,王伟玲;王晶;,2019,"人类社会正经历由工业经济逐渐向数字经济的过渡和转变,社会经济的发展不再主要依赖物质材料的投入和新能源的开发,而是依赖信息技术的应用和信息资源的开发利用。数字经济的出现和发展给人类带来新的资源、新的财富和新的社会生产力,同时也使人类在信息的生产、传递和消费等活动中产生的经济关系变得日益多样化。近年来,我国数字经济发展迅速,在相关政策的支持下,企业向""大数据化""和""云化""迈进,催生了制造业的多种新业态、新模式。今后一段时期,数字经济竞争要素将由用户流量向数据转变,数字经济推动企业由批量供给向按需生产转变,受到的监管将不断增加。为保障数字经济的平稳快速发展,我国应建立适应数字经济发展的市场体制、加强信息公开和数据开放、强化信息产权保护、鼓励商业模式创新和技术创新并促进全民信息意识提高。",,01,经济纵横
数字化转型对生产方式和国际经济格局的影响与应对,马名杰;戴建军;熊鸿儒;,2019,"数字技术革命正在世界范围内推动社会生产方式向数字化转型,对整个经济体系产生渗透和重构,进而引发国际经济格局的调整。数字化转型过程中,数字技术公司快速发展,网络平台成为国家重要的竞争载体,网络市场规模大、创新环境友好的国家将占据竞争优势,制造业向有利于资本、人才和技术密集的国家和地区集聚,投资加速向知识、技术密集程度高的地区流动,数字产业和网络发达的国家将在国际贸易中占据重要份额。我国应积极应对制造业数字化转型带来的规模优势、低成本优势、产业配套优势面临大幅削弱的风险和挑战,加速产业数字化转型升级,补齐基础技术短板,提高原始创新能力,加快教育改革,促进就业结构升级和灵活就业,加强数字经济领域国际合作。",,01,中国科技论坛
OECD数字经济核算研究最新动态及其启示,向书坚;吴文君;,2018,"本文主要概览了OECD数字经济核算研究的最新动态,探讨了数字经济内涵界定、核算内容及方法、数据来源三方面的核算问题。首先重点梳理了OECD基于包容性视角、核算视角和初步测算视角的内涵界定及特征分析;其次综述了OECD数字经济核算的主要研究议题及方法,包括增加值及总产出核算、价格和物量核算、消费品资本化核算、""免费""经济核算、数字平台中介服务的流量核算等内容,以最具典型性的分享经济为例探讨了目前OECD国家官方统计机构公布的关于数据来源的统计实务,并针对最为广泛使用的税务机关数据和抽样调查数据,分别对美国、加拿大和英国公布的官方统计数据现状进行了更为深入的阐述;最后,结合数字经济的内涵界定、特征分析、核算方法和数据来源,为我国数字经济的核算工作提供了全面统计、动态监测、优化方法和挖掘来源等重要建议。",35,12,统计研究
平台经济下的税收治理体系创新,周克清;李霞;,2018,"平台经济基于数字技术和商业模式创新,很大程度上改变了传统的贸易模式和协作分工方式,带来了经济结构的整体变革,对传统的税收理论和实践以及现有税收体系提出了全新挑战。在此背景下,如何厘清平台经济中各参与主体的涉税要素变化,如何追寻平台经济中的税法""实体性""和执法""真空性""的矛盾根源,是问题的关键所在。本文分析了平台经济对税收治理提出的新需求,讨论了世界各国在征税实践上的成功经验,进而提出了我国平台经济下税收制度和征管方式创新的方向。",,12,税务研究
数字普惠金融、农村贫困与经济增长,龚沁宜;成学真;,2018,"普惠金融主要服务对象是农民,其目的在于使广大农村地区的农民通过享受到普惠金融的服务,最终达到脱贫的目的。西部地区是我国农村贫困人口较为集中的地区,因此利用我国西部地区12个省市2011—2015年的面板数据,研究不同经济发展水平下数字普惠金融的减贫效应。研究结果表明:西部地区数字普惠金融对于农村贫困发生率的影响存在显著的非线性关系,且存在单一的门槛特征值。当经济发展水平未跨越门槛值时,数字普惠金融对于农村贫困表现为显著的减缓作用;当经济发展水平超过门槛值时,数字普惠金融对于贫困的抑制作用有所减弱,其减贫的边际效用表现出递减的规律。总体而言数字普惠金融对于贫困的减缓作用十分显著,尤其是针对经济发展水平不高的甘肃等4省份,其减贫效果尤为明显,因此现阶段应大力发展数字普惠金融,助力农村地区精准脱贫。",,06,甘肃社会科学
国内外数字经济测度指标体系研究综述,徐清源;单志广;马潮江;,2018,"本文通过回顾数字经济的理论体系和测度方法的相关研究,对比评述了国际和国内12个数字经济相关指标体系的优缺点以及参考价值,并给出了中国用对比法测度数字经济发展水平指标体系的构建思路和政策建议。",,11,调研世界
对“互联网+”现代农业的再认识,王小兵;康春鹏;董春岩;,2018,"按照党中央、国务院部署,深入推进""互联网+""现代农业行动将为乡村振兴战略高质量实施提供强有力的信息化支撑。本文运用实地调研和资料分析法,系统梳理了""互联网+""现代农业取得的成效、面临的困难和问题。提出了深入推进""互联网+""现代农业行动的实施路径:一是加快现代信息技术在农业全产业链中的融合应用,二是培育壮大农业农村数字经济,三是加快提升农业信息技术研发创新能力,四是加快推进""三农""综合信息服务。""互联网+""是实施乡村振兴战略的重要驱动力,必将引领驱动农业全面升级、农村全面进步、农民全面发展。",,10,农业经济问题
数字贸易及其时代价值与研究展望,马述忠;房超;梁银锋;,2018,"在制造业智能化转型的全球背景下,本文基于中国数字贸易的率先实践,借鉴多方解读,提出数字贸易是以现代信息网络为载体,通过信息通信技术的有效使用实现传统实体货物、数字产品与服务、数字化知识与信息的高效交换,进而推动消费互联网向产业互联网转型并最终实现制造业智能化的新型贸易活动,是传统贸易在数字经济时代的拓展与延伸。本文进一步辨析了数字贸易与传统贸易的异同,提炼了数字贸易的内外部属性。数字贸易呈现贸易成本普遍降低、中间环节大幅减少等趋势,对于推动中国形成全面开放新格局具有重要意义。数字贸易背景下,传统国际经济理论中的诸多命题受到挑战,全新经济事实值得重点关注,这对于中国国际经济理论研究而言是一次重大机遇。",,10,国际贸易问题
全球数字贸易发展态势、限制因素及中国对策,陈超凡;刘浩;,2018,"数字贸易是互联网经济、数字技术与现代贸易相融合的新型贸易模式,数字贸易在降低交易成本、提高生产率、创新商业模式、增进消费福利以及帮助中小企业成长等方面发挥着重要作用,数字贸易的快速发展日益成为世界经济转型升级的新动能、新引擎。不同于传统贸易,全球数字贸易的发展在国家层面、企业层面、平台层面以及技术层面都体现出一系列新特点和新趋势。然而,由于全球数字贸易规制体系尚未成熟,各类监管措施一定程度限制了全球数字贸易的发展,包括数据本地化、数据与隐私保护、源代码和加密限制、知识产权保护、外商直接投资障碍等问题。为了更好地参与全球数字贸易,推动中国模式与全球标准更好地对接,中国的应对措施包括:加强顶层设计,强化创新驱动;发挥比较优势,拓展新兴领域;健全法律制度,营造良好环境;参与规则制定,提升国际话语权。",,05,理论学刊
数字经济时代的技术融合与应用创新趋势分析,陈晓红;,2018,"在数字经济时代,大数据、物联网、人工智能、区块链、虚拟现实等数字新技术的融合,引领了新一轮信息技术的跨越发展,同时数字新技术在政府公共管理、医疗服务、零售业、制造业以及涉及个人的位置服务等领域得到了广泛应用,并产生了巨大的经济效益和社会价值。从数字经济时代所呈现的新特征和面临的新挑战入手,探讨数字经济时代的技术发展新趋势,揭示数字经济时代的技术交叉融合关系,指出数字经济时代的应用创新趋势。",24,05,中南大学学报(社会科学版)
反垄断视角的大数据问题初探,詹馥静;王先林;,2018,"大数据对数字经济领域的市场秩序和竞争格局带来重大影响。大数据优势有助于提升企业的市场力量,产生防御性合并、价格合谋和滥用市场支配地位等垄断隐忧。在现有的反垄断法律框架下探讨大数据垄断的规制问题,必须结合大数据的经济特征和市场竞争的现实情况做出具体分析。大数据产业处于起步阶段,反垄断执法机构需因应技术发展,提高执法专业化水平,加强反垄断执法的国际合作与交流。与此同时,针对大数据的反垄断执法应秉持谦抑审慎的执法原则,谨防落入反垄断规制万能主义的窠臼。",,09,价格理论与实践
数字贸易的缘起、国际经验与发展策略,夏杰长;,2018,"通过对数字贸易现状的分析,探究了数字贸易兴起的理论机理。研究发现:(1)数字贸易兴起的直接原因在于数字经济的发展,而根本原因是技术创新引发的生产组织方式的深度变革。(2)数字贸易的蓬勃发展是降低成本、提高生产效率以及促进经济增长和商业版图重构的重要途径。(3)发展数字贸易,既是满足居民日益增长的美好生活需要的重要抓手,也是实现中国经济由高速增长向高质量发展转换的重要手段。(4)与西方发达国家相比,中国的差距主要体现在数字基础设施无法满足数字贸易蓬勃发展的市场需求、监管缺位和国际话语权缺失等方面。加快发展数字贸易,是培育贸易新业态、新模式和推进贸易强国建设的重要路径。要从高度重视数字经济、完善数字基础设施建设、培育壮大市场主体、加强立法监管、开展数字贸易自贸区试点、提升国际贸易话语权、发展龙头企业扩大""一带一路""沿线影响等方面发力,加快发展数字贸易。",33,05,北京工商大学学报(社会科学版)
数字经济的政治经济学分析,裴长洪;倪江飞;李越;,2018,"数字经济是一种更高级、可持续的经济形态,以信息通信技术为核心的技术手段对社会经济的各个方面起着前所未有的促进作用。本文在对数字经济的概念进行经济学解释的基础上,运用政治经济学原理分析了数字信息产品的社会再生产过程和数字产业的特点,探讨了数字经济微观主体和共享经济的特征。本文认为,数字经济的出现使得传统经济学理论面临挑战,迫切需要理论研究和创新来解释这一新的经济现象。",39,09,财贸经济
数字经济的增加值及贡献度测算:历史沿革、理论基础与方法框架,蔡跃洲;,2018,"准确测算数字经济增加值规模及其贡献度将为政府部门决策提供依据,有利于发挥数字经济对中国经济的支撑作用。数字技术的替代性、渗透性、协同性三大特性使得数字经济分为两部分,与数字技术直接相关的特定产业部门和融入数字元素后的新型经济形态。后者由数字技术带来效率提升所对应的增加值应归属于数字经济,但难以使用常规核算方法测算。增加值""规模""与""增量""及对GDP贡献度等概念间的切换也增加了测算的难度。从增量测算入手,按照""先增量后总量、先贡献度后规模""的思路,将增长核算与常规GDP核算方法相结合,可以构建起操作性和准确性较强的测算框架。",45,05,求是学刊
数字经济驱动产业结构向中高端迈进的发展思路与主要任务,张于喆;,2018,"数字经济是融合型经济,已成为经济增长的动力源泉,是经济转型升级的驱动力,也是全球新一轮产业竞争的制高点。我国作为后发国家的基本国情没有变,""追赶超越""的发展诉求没有变。在新的历史条件下,我国产业结构向中高端迈进,需要以数字经济为驱动。因此,要以供给侧结构性改革为主线,以制造业数字化改造为切入点,有步骤、有层次地对所有实体经济进行数字化、网络化和智能化改造,积极抢占产业发展制高点,全面重塑产业核心竞争力。具体看,传统存量领域应突出问题导向,以融合发展为主线,推动创新应用;新兴增量领域应突出目标导向,瞄准前沿、把握趋势。同时,还要突出基础保障,以更大力度、更实举措为产业结构迈向中高端注入强大动力。",,09,经济纵横
数字政府战略意蕴、技术构架与路径设计——基于浙江改革的实践与探索,刘淑春;,2018,"数字政府是""治理理念创新+数字技术创新+政务流程创新+体制机制创新""的系统性、协同式变革,推动治理体系和治理能力现代化亟需加快推动大数据与政府治理深度融合,对政务流程、组织构架、功能模块等进行数字化重塑,系统推进经济调节、市场监管、公共服务、社会管理、环境治理、政府运行""六位一体""数字化转型,构建纵向贯通、横向协同的数字政府。政府数字化转型效应最大化需要全方位协同,对政府系统的数据共享技术、数据采集技术、数据标准、数据安全技术等底层技术进行整合和集成,以支撑和保障政府组织高效响应经济社会全面数字化转型需求。数字政府系统性和耦合性很强,建立政务高效化、服务线上化、治理精准化的新型政务运行模式,必须从国家层面进行协同改革以及综合集成,加强顶层设计,深化政务改革,构筑统一平台,全面推行""掌上办事""。",,09,中国行政管理
欧盟《一般数据保护条例》:演进、要点与疑义,金晶;,2018,"欧盟《一般数据保护条例》具有明显的功能主义的立法特征,体现了数据问题的复杂本质——保护法益的多样性。这包括数据主体对数据的支配权,数据控制者和处理者对数据的使用收益权,也涉及国家(地区)的数据主权。《一般数据保护条例》借助市场地原则和个人数据处理概念拓宽适用范围;遵循保护前置理念构建数据主体权利,将类型化的数据保护前置到数据收集、处理阶段,确立了数据可携权、删除权等非绝对性权利;引入了数据""归属""不排斥""利用""的跨境传输规则。该条例存在价值困境和技术困境,这是经济全球竞争格局下法律价值序列的平衡所提出的最大挑战。数据立法区域竞争的实质是数字经济的全球竞争,而法律价值序列处于变动平衡和重组之中,是立法者对市场竞争优势、经济长期发展和社会目标实现的不同选择和不同追求。数字技术引发的问题绝不限于是否立法,更在于采取何种价值序列、以何种方式立法,及如何与既有法律监管体系相协调。无论采取何种数据立法模式,技术路径绝非可取之策,机械分离数据主体和数据控制者,采取单一价值取向的个人数据保护法的立法模式,亦非数字时代的最佳选择。",36,04,欧洲研究
后BEPS时代居民税收管辖权的问题与改革,王丽华;廖益新;,2018,"在经济全球化和数字经济背景下,建立在传统国际税法理论基础上的以居民税收管辖权为基础的现行国际税收协调模式面临着诸多挑战。晚近国际税法实践中有关居民税收管辖权规则的改革倾向表明,居住国税收管辖权已经不能反映纳税人与征税国之间的更为密切的经济联系,也违背了税收公平原则、量能课税原则、税收中性原则。税基侵蚀与利润转移(BEPS)行动计划的推出和《实施税收协定相关措施以防止税基侵蚀和利润转移(BEPS)的多边公约》的签署(1),为改革居民税收管辖权提供了良机。跨国所得课税权的改革应按照价值创造理论进行,未来加强价值创造理论的研究并在此基础上提出符合发展中国家利益的方案将对国际税收协调规则的重塑产生重要的影响。",20,04,上海财经大学学报
贸易规制视域下数据隐私保护的冲突与解决,彭岳;,2018,"数字经济时代,数据跨境自由流动与数据隐私保护之间的冲突日益突出。在隐私保护的价值预设和制度设计方面,美国主导的""市场话语""和欧盟主导的""权利话语""存在严重分歧。在贸易规制协调与合作的语境下处理数据隐私保护问题有助于欧美之间达成""浅层次""的共识。就灵活性和可行性而言,美国主张的""原则+例外""规制模式优于欧盟提出的国际统一标准规制模式。鉴于该模式可容纳中国倡导的网络安全价值,中国应予以支持。",,04,比较法研究
数字经济重塑全球经济格局——政策竞赛和规模经济驱动下的分化与整合,王玉柱;,2018,"在数字经济时代,数字资源禀赋是国家竞争力的核心,政府主导的数字化发展战略和国家间数字经济政策竞争将成为发展常态。数字化生产模式将对传统国际分工机制产生重大冲击,发展中国家融入全球产业链的难度将进一步提升,国家间经济关系和世界经济格局将发生分化与重组。区别于传统产业,数字资源禀赋的获得需依赖国家资源的持续投入。数字经济的发展需建立在相对健全的数字化生态基础之上,政府干预导向的产业政策实践将最终表现为国家间经济政策竞赛。美、欧、日等发达经济体依靠自身在信息产业领域的资源禀赋,将通过产业的数字化转型重获竞争优势。发达经济体之间基于数字资源禀赋形成的""生产稳态""关系将使其与发展中国家在分工关系上相对割裂。受资本和技术等多重因素的制约,发展中国家将面临""新数字鸿沟""问题,同时,数字经济还将催生新兴经济体之间的发展分化。此外,数字经济存在显著的规模经济和系统集成效应,成为驱动一体化的新机制和新动力。",10,04,国际展望
论算法共谋的反垄断规制路径,李振利;李毅;,2018,"算法共谋是当今世界反垄断规制的最大的难题,主要的原因在于如何发现共谋和缺乏主观意图下的算法共谋的法律认定和判断上。数字经济形成的极度透明的市场,使垄断协议概念在数字经济中局限化,挑战了反垄断执法机关对算法共谋违法的判断标准。被称为黑匣子的隐蔽、不透明的算法技术,增加了识别利用人工智能手段进行算法共谋的难度。算法共谋承担责任的主体也存在着较大的争议,使人类和机器的责任模糊化。本着谦抑性地干预算法共谋的谨慎态度,尝试性地提出一些规制算法共谋的监管措施,以期实现保护自由竞争、保障消费者的合法权利和促进创新平衡的效果。",,07,学术交流
